"Group.1","DISTANCE","DELAYED","TOTAL"
"14307",749850,335,1098
"14321",260761,143,479
"14457",126520,36,236
"14487",12338,17,62
"14489",120717,47,200
"14492",1993663,951,2999
"14520",13589,14,89
"14524",866884,435,1647
"14543",14820,10,57
"14570",682842,365,1144
"14574",93705,44,223
"14576",353624,230,738
"14588",40020,19,92
"14633",61081,43,185
"14635",1645383,703,1778
"14674",51243,18,93
"14679",6156846,2112,6207
"14683",1829820,918,2626
"14685",333409,181,661
"14689",227544,131,564
"14696",119388,106,416
"14698",53302,69,249
"14709",42750,16,81
"14711",32736,13,62
"14730",463447,247,844
"14747",12930372,2778,10385
"14771",17135338,5074,14170
"14783",241209,115,529
"14794",70406,38,203
"14814",194982,136,555
"14828",11563,30,93
"14831",2627762,1004,3482
"14842",33892,31,148
"14843",2568692,716,1876
"14869",6397459,1933,8764
"14893",2483551,1200,3618
"14905",13392,17,62
"14908",2879980,1085,3538
"14952",52092,33,150
"14960",13786,27,122
"14986",218330,93,306
"15016",3014213,1371,4310
"15024",240010,76,237
"15027",46196,18,69
"15041",13764,8,62
"15048",24852,10,57
"15070",65317,31,62
"15096",338245,141,639
"15249",98981,71,279
"15295",18744,9,88
"15304",4336793,1890,5148
"15323",36093,34,159
"15356",199831,78,277
"15370",673254,391,1318
"15376",924277,399,1313
"15380",45555,62,208
"15389",15225,6,87
"15401",15928,22,88
"15411",27912,35,227
"15412",326148,141,629
"15497",11214,7,14
"15607",18304,27,88
"15624",178224,102,416
"15841",3503,23,62
"15919",504424,250,940
"15991",12772,15,62
"16218",28320,29,177
"ABE",1361476,686,2276
"ABI",367666,742,2327
"ABQ",13544952,8417,19188
"ABR",172447,134,671
"ABY",127020,284,876
"ACK",93610,136,492
"ACT",143379,563,1611
"ACV",329750,429,1319
"ACY",2904937,1462,3571
"ADK",114432,21,96
"ADQ",116380,82,460
"AEX",1073735,1020,3146
"AGS",339122,763,2363
"AKN",18144,16,63
"ALB",5540598,3258,7460
"ALO",144612,206,618
"AMA",1687971,1554,4215
"ANC",22257519,6115,16001
"APN",113454,101,573
"ASE",2268475,1687,3561
"ATL",222091901,110754,346904
"ATW",811557,742,2849
"AUS",34619770,17446,42078
"AVL",789394,874,2747
"AVP",747556,452,1359
"AZO",267269,554,1846
"BDL",15820146,8039,18797
"BET",357504,212,896
"BFL",1745529,786,2636
"BGM",99792,66,264
"BGR",255168,109,368
"BHM",6445317,4884,12514
"BIL",1452941,908,2870
"BIS",1807964,1086,3455
"BJI",132733,106,667
"BLI",893185,168,711
"BMI",1131709,1037,2731
"BNA",31319294,18832,47568
"BOI",7401134,4610,11656
"BOS",105477415,41993,107851
"BPT",262710,366,973
"BQK",209026,277,879
"BQN",1824089,735,1343
"BRD",67338,91,590
"BRO",912726,669,2364
"BRW",272889,257,855
"BTM",238887,74,668
"BTR",2607626,2403,7168
"BTV",1400635,1085,2976
"BUF",10145215,6558,16829
"BUR",8586621,7135,18890
"BWI",65918984,34870,86085
"BZN",2424482,1242,3605
"CAE",2391822,1795,5148
"CAK",3431798,2237,6098
"CDC",126633,72,573
"CDV",123463,171,662
"CEC",57760,63,190
"CHA",1150026,1353,4204
"CHO",1042598,820,2204
"CHS",6496812,4141,11819
"CID",2800488,2413,6833
"CIU",174141,149,614
"CLD",55040,186,640
"CLE",24232928,12854,34580
"CLL",315953,630,2309
"CLT",73029285,29509,100322
"CMH",16259650,9565,24183
"CMI",470539,694,2115
"CMX",239575,193,667
"CNY",37904,23,206
"COD",234270,178,665
"COS",3888727,2709,6882
"COU",526860,567,1308
"CPR",481180,432,1772
"CRP",1192469,1739,4881
"CRW",1154860,778,2386
"CSG",88561,322,1067
"CVG",13915225,6980,20027
"CWA",300282,507,1420
"DAB",547054,504,1494
"DAL",40046231,24846,59703
"DAY",4210954,3100,8672
"DBQ",136416,287,928
"DCA",56606764,25151,73799
"DEN",171320205,77972,196010
"DFW",187985420,76151,239582
"DHN",214200,373,1260
"DIK",453077,187,937
"DLG",25333,9,77
"DLH",527022,498,1721
"DRO",926907,597,2068
"DSM",4426443,3213,8388
"DTW",76246590,34295,108398
"DVL",43658,134,526
"EAU",179146,194,668
"ECP",1686826,1451,4173
"EGE",1376098,564,1243
"EKO",106200,47,531
"ELM",828843,589,2052
"ELP",7635476,5267,11976
"ERI",271636,242,746
"ESC",175338,116,573
"EUG",2237103,1212,3631
"EVV",1321700,1155,3833
"EWN",248975,193,575
"EWR",110775845,44094,101830
"EYW",989090,541,1973
"FAI",2787263,797,2183
"FAR",2931007,1945,5693
