"Group.1","YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY","DURATION"
"10135",2015,10,15.7478991596639,3.83613445378151,NA,5042.77731092437,NA,NA,NA,1493.75630252101,1485.31932773109,4.00840336134454,19.7310924369748,1520.51260504202,109.163865546218,105.008403361345,81.7436974789916,597.168067226891,1641.6218487395,3.72268907563025,1698.88655462185,1636.7731092437,1.16806722689076,0.00840336134453781,0.00420168067226891,NA,0.945378151260504,0,3.88235294117647,1.86974789915966,0,151.453781512605
"10136",2015,10,16.0398009950249,4.02985074626866,NA,3305.08457711443,NA,NA,NA,1563.8407960199,1517.3631840796,5.04477611940298,14.4825870646766,1536.23880597015,53.4925373134328,48.1492537313433,29.3582089552239,158,1586.09452736318,4.30845771144279,1651.16417910448,1580.65174129353,1.17910447761194,0,0.0348258706467662,NA,1.93532338308458,0,1.71641791044776,1.7910447761194,3.37313432835821,63.2885572139303
"10140",2015,10,15.902479338843,4.01542699724518,NA,2086.09421487603,NA,NA,NA,1407.62369146006,1411.70743801653,5.98181818181818,14.9030303030303,1436.13112947658,125.849035812672,121.236363636364,100.679889807163,730.393939393939,1553.31955922865,5.66115702479339,1554.97134986226,1545.16253443526,1.62754820936639,0.000550964187327824,0.00165289256198347,NA,0.920661157024793,0.0363636363636364,2.55537190082645,2.90578512396694,0.3366391184573,133.455096418733
"10141",2015,10,16.6056338028169,4.02816901408451,NA,7392.77464788732,NA,NA,NA,1649.87323943662,1659.05633802817,4.11267605633803,16.9014084507042,1689.47887323944,73.6056338028169,67.6056338028169,46.112676056338,257,1764.88732394366,4.59154929577465,1782.6338028169,1771.7323943662,-1.88732394366197,0,0,NA,0.605633802816901,0,2.84507042253521,1.98591549295775,0,112.676056338028
"10146",2015,10,15.816091954023,4.01149425287356,NA,5320.02298850575,NA,NA,NA,1556.18390804598,1564.81609195402,7.71264367816092,18.1724137931034,1600.45977011494,52.0689655172414,51.4827586206897,29.7931034482759,145,1648.18390804598,3.51724137931034,1636.75862068966,1653.54022988506,7.1264367816092,0,0,NA,2.06896551724138,0,5.04597701149425,4.31034482758621,0,88.7241379310345
"10154",2015,10,8,4.75,NA,1366.96428571429,NA,NA,NA,1318.71428571429,1328.85714285714,7.28571428571429,21.3928571428571,1361.67857142857,61.6071428571429,59.3928571428571,35.0357142857143,172,1435.10714285714,3.85714285714286,1414.60714285714,1438.96428571429,6.75,0.0357142857142857,0,NA,2.17857142857143,0,0.571428571428571,3.60714285714286,4.5,110.107142857143
"10155",2015,10,15.9527027027027,4.00675675675676,NA,2782.03378378378,NA,NA,NA,1485.66891891892,1402.93918918919,-0.614864864864865,18.6418918918919,1435.90540540541,44.6756756756757,41.7702702702703,19.6756756756757,89,1454.23648648649,4.16891891891892,1538.72297297297,1461.10810810811,-1.92567567567568,0,0.0472972972972973,NA,0.918918918918919,0,1.36486486486486,1.09459459459459,0,58.1689189189189
"10157",2015,10,16.2786885245902,4.07377049180328,NA,5755.63114754098,NA,NA,NA,1479.33606557377,1444.39344262295,7.71311475409836,24.0655737704918,1446.16393442623,71.672131147541,71.5655737704918,42.7704918032787,250,1424.53278688525,5.07377049180328,1599.53278688525,1374.19672131148,9.09836065573771,0.0163934426229508,0.0163934426229508,NA,2.21311475409836,0,2.60655737704918,6.52459016393443,1.75409836065574,-70.1967213114754
"10158",2015,10,16,4.09677419354839,NA,369.75,NA,NA,NA,1634.45564516129,1615.37096774194,3.86693548387097,11.616935483871,1632.31048387097,125.625,124.141129032258,108.157258064516,837.25,1775.32661290323,4.43548387096774,1836.20967741935,1771.69758064516,3.54838709677419,0.00403225806451613,0.00403225806451613,NA,7.47983870967742,0,0.758064516129032,0.0604838709677419,0,156.326612903226
"10165",2015,10,14.7777777777778,5.33333333333333,NA,164,NA,NA,NA,1445,1430.77777777778,-9.77777777777778,12.4444444444444,1447.66666666667,192,186,168.888888888889,1192,1636.55555555556,4.66666666666667,1692.55555555556,1645.66666666667,-15.7777777777778,0,0,NA,3.22222222222222,0,0,0,0,214.888888888889
