"YEAR","MONTH","DAY","DAY_OF_WEEK","AIRLINE","FLIGHT_NUMBER","TAIL_NUMBER","ORIGIN_AIRPORT","DESTINATION_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_TIME","DEPARTURE_DELAY","TAXI_OUT","WHEELS_OFF","SCHEDULED_TIME","ELAPSED_TIME","AIR_TIME","DISTANCE","WHEELS_ON","TAXI_IN","SCHEDULED_ARRIVAL","ARRIVAL_TIME","ARRIVAL_DELAY","DIVERTED","CANCELLED","CANCELLATION_REASON","AIR_SYSTEM_DELAY","SECURITY_DELAY","AIRLINE_DELAY","LATE_AIRCRAFT_DELAY","WEATHER_DELAY","DURATION","DELAYED","TOTAL"
2015,1,1,4,"UA",507,"N808UA","CLE","IAH",550,629,39,11,640,194,198,170,1091,830,17,804,847,43,0,0,"",4,0,39,0,0,218,1,1
2015,1,1,4,"UA",1553,"N37290","BOS","EWR",550,552,2,12,604,88,67,46,200,650,9,718,659,-19,0,0,"",0,0,0,0,0,107,1,1
2015,1,1,4,"AA",2410,"N3BAAA","LAX","DFW",550,600,10,17,617,180,172,150,1235,1047,5,1050,1052,2,0,0,"",0,0,0,0,0,452,1,1
2015,1,1,4,"OO",6204,"N917SW","BFL","DEN",550,556,6,31,627,150,164,125,845,932,8,920,940,20,0,0,"",14,0,6,0,0,384,1,1
2015,1,1,4,"OO",6261,"N107SY","SAT","SFO",550,557,7,9,606,249,223,198,1482,724,16,759,740,-19,0,0,"",0,0,0,0,0,183,1,1
2015,1,1,4,"OO",5160,"N794SK","OMA","IAH",550,605,15,16,621,140,146,120,781,821,10,810,831,21,0,0,"",6,0,15,0,0,226,1,1
2015,1,1,4,"UA",1222,"N68452","MCO","LAX",555,557,2,10,607,341,343,310,2218,817,23,836,840,4,0,0,"",0,0,0,0,0,283,1,1
2015,1,1,4,"EV",5976,"N27200","BUF","EWR",555,928,213,38,1006,80,93,48,282,1054,7,715,1101,226,0,0,"",13,0,0,0,213,173,1,1
2015,1,1,4,"OO",5547,"N910SW","ONT","DEN",559,758,119,4,802,141,138,123,819,1105,11,920,1116,116,0,0,"",0,0,0,0,116,358,1,1
2015,1,1,4,"UA",247,"N462UA","PHX","IAH",600,751,111,31,822,148,160,118,1009,1120,11,928,1131,123,0,0,"",12,0,0,0,111,380,1,1
