"IATA_CODE","AIRPORT","CITY","STATE","COUNTRY","LATITUDE_ARRIVAL","LONGITUDE_ARRIVAL","IATA_CODE.y","LATITUDE_ORIGIN","LONGITUDE_ORIGIN"
"AEX","Alexandria International Airport","Alexandria","LA","USA",31.32737,-92.54856,"ATL",33.64044,-84.42694
"AEX","Alexandria International Airport","Alexandria","LA","USA",31.32737,-92.54856,"DFW",32.89595,-97.0372
"AEX","Alexandria International Airport","Alexandria","LA","USA",31.32737,-92.54856,"IAH",29.98047,-95.33972
"AGS","Augusta Regional Airport (Bush Field)","Augusta","GA","USA",33.36996,-81.9645,"ATL",33.64044,-84.42694
"AGS","Augusta Regional Airport (Bush Field)","Augusta","GA","USA",33.36996,-81.9645,"LGA",40.77724,-73.87261
"AGS","Augusta Regional Airport (Bush Field)","Augusta","GA","USA",33.36996,-81.9645,"IAH",29.98047,-95.33972
"AKN","King Salmon Airport","King Salmon","AK","USA",58.6768,-156.64922,"ANC",61.17432,-149.99619
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"IAD",38.94453,-77.45581
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"MDW",41.78598,-87.75242
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"MCO",28.42889,-81.31603
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"LAS",36.08036,-115.15233
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"CLT",35.21401,-80.94313
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"DTW",42.21206,-83.34884
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"ORD",41.9796,-87.90446
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"BWI",39.1754,-76.6682
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"FLL",26.07258,-80.15275
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"EWR",40.6925,-74.16866
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"RSW",26.53617,-81.75517
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"ATL",33.64044,-84.42694
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"TPA",27.97547,-82.53325
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"DEN",39.85841,-104.667
"ALB","Albany International Airport","Albany","NY","USA",42.74812,-73.80298,"MSP",44.88055,-93.21692
"ALO","Waterloo Regional Airport","Waterloo","IA","USA",42.55708,-92.40034,"ORD",41.9796,-87.90446
"AMA","Rick Husband Amarillo International Airport","Amarillo","TX","USA",35.21937,-101.70593,"DAL",32.84711,-96.85177
"AMA","Rick Husband Amarillo International Airport","Amarillo","TX","USA",35.21937,-101.70593,"IAH",29.98047,-95.33972
"AMA","Rick Husband Amarillo International Airport","Amarillo","TX","USA",35.21937,-101.70593,"DFW",32.89595,-97.0372
"AMA","Rick Husband Amarillo International Airport","Amarillo","TX","USA",35.21937,-101.70593,"DEN",39.85841,-104.667
"AMA","Rick Husband Amarillo International Airport","Amarillo","TX","USA",35.21937,-101.70593,"LAS",36.08036,-115.15233
"AMA","Rick Husband Amarillo International Airport","Amarillo","TX","USA",35.21937,-101.70593,"LBB",33.66364,-101.82278
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"EWR",40.6925,-74.16866
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"PHX",33.43417,-112.00806
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"BRW",71.28545,-156.766
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"MSP",44.88055,-93.21692
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"LAX",33.94254,-118.40807
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"AKN",58.6768,-156.64922
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"BET",60.77978,-161.838
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"JNU",58.35496,-134.57628
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"DLG",59.04541,-158.50334
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"SFO",37.619,-122.37484
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"OME",64.5122,-165.44525
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"HNL",21.31869,-157.92241
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"DFW",32.89595,-97.0372
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"DEN",39.85841,-104.667
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"LGB",33.81772,-118.15161
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"OGG",20.89865,-156.43046
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"SCC",70.19476,-148.46516
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"KOA",19.73877,-156.04563
"ANC","Ted Stevens Anchorage International Airport","Anchorage","AK","USA",61.17432,-149.99619,"IAH",29.98047,-95.33972
