"Group.1","DISTANCE","DELAYED","TOTAL"
"14321",274593,129,477
"14457",137462,46,236
"14487",12338,16,62
"14489",120717,32,200
"14492",2020503,860,3002
"14520",13522,11,88
"14524",859637,439,1647
"14543",14820,9,57
"14570",682745,330,1144
"14574",93705,48,223
"14576",352482,192,737
"14588",40020,30,92
"14633",61081,27,185
"14635",1633427,438,1766
"14674",51243,28,93
"14679",6143211,1761,6209
"14683",1820705,676,2624
"14685",333347,210,661
"14689",226979,118,565
"14696",119231,121,415
"14698",53811,64,250
"14709",24561,16,81
"14711",32736,7,62
"14730",450669,262,843
"14747",12946060,3207,10388
"14771",17116801,4548,14170
"14783",243404,102,531
"14794",70406,49,203
"14814",183774,114,556
"14828",11563,24,93
"14831",2628593,959,3481
"14842",34121,29,149
"14843",2556285,558,1868
"14869",6403757,1873,8763
"14893",2482962,1105,3618
"14905",13392,13,62
"14908",2887758,1031,3542
"14952",52092,28,150
"14960",13786,20,122
"14986",217886,71,305
"15016",3027735,1344,4314
"15024",240010,48,237
"15027",45057,20,68
"15041",13764,4,62
"15048",24852,4,57
"15070",65317,21,62
"15096",328819,106,640
"15249",98981,55,279
"15295",18744,6,88
"15304",4329800,1452,5143
"15323",36093,38,159
"15356",199831,69,277
"15370",672858,320,1319
"15376",923013,317,1311
"15380",45555,34,208
"15389",15225,19,87
"15401",15928,22,88
"15411",27912,35,227
"15412",326148,142,629
"15497",11214,5,14
"15607",18304,17,88
"15624",178072,73,415
"15841",3503,24,62
"15919",504462,197,941
"15991",12772,9,62
"16218",28320,39,177
"ABE",1358628,610,2274
"ABI",367982,557,2329
"ABQ",13567766,6991,19192
"ABR",172447,140,671
"ABY",127020,204,876
"ACK",93610,207,492
"ACT",143468,397,1612
"ACV",330000,401,1320
"ACY",2904977,1209,3572
"ADK",114432,55,96
"ADQ",116380,127,460
"AEX",1073735,817,3146
"AGS",338158,703,2361
"AKN",18144,30,63
"ALB",5543424,2192,7459
"ALO",144378,121,617
"AMA",1687864,1202,4214
"ANC",22372535,4493,16005
"APN",113454,93,573
"ASE",2271016,1346,3562
"ATL",221971159,129846,346836
"ATW",811828,710,2848
"AUS",34577057,16239,42067
"AVL",789066,775,2745
"AVP",747556,357,1359
"AZO",265251,331,1845
"BDL",15788195,6104,18799
"BET",357504,257,896
"BFL",1746981,582,2637
"BGM",99036,55,262
"BGR",254784,81,366
"BHM",6444647,3926,12514
"BIL",1450601,468,2866
"BIS",1806471,839,3453
"BJI",132733,79,667
"BLI",892324,136,711
"BMI",1131593,602,2730
"BNA",31336008,17546,47580
"BOI",7402110,3412,11655
"BOS",105400239,39093,107847
"BPT",262710,314,973
"BQK",208964,198,878
"BQN",1824682,557,1343
"BRD",67224,69,589
"BRO",911762,498,2362
"BRW",447258,247,855
"BTM",238786,83,667
"BTR",2606665,2350,7166
"BTV",1411254,835,2978
"BUF",10143173,4844,16824
"BUR",8585217,5930,18889
"BWI",65959853,41866,86079
"BZN",2425108,932,3604
"CAE",2395005,1504,5151
"CAK",3434246,1485,6100
"CDC",126633,141,573
"CDV",123463,178,662
"CEC",57760,59,190
"CHA",1160397,1236,4202
"CHO",1042446,642,2204
"CHS",6497051,3372,11817
"CID",2864209,2010,6832
"CIU",174092,148,613
"CLD",55126,159,641
"CLE",24127378,10636,34589
"CLL",315374,447,2311
"CLT",73127109,37029,100324
"CMH",16422829,7778,24187
"CMI",470674,430,2116
"CMX",239934,135,668
"CNY",37904,11,206
"COD",234569,207,665
"COS",3870375,1762,6881
"COU",526860,384,1308
"CPR",481640,319,1774
"CRP",1194624,1425,4888
"CRW",1154120,884,2385
"CSG",88644,293,1068
"CVG",13818530,5856,20031
"CWA",300235,290,1420
"DAB",547054,346,1494
"DAL",40081355,30925,59699
"DAY",4182296,2456,8676
"DBQ",136416,186,928
"DCA",56578389,22673,73794
"DEN",171727739,89290,196055
"DFW",187867939,96475,239551
"DHN",214200,303,1260
"DIK",453565,118,938
"DLG",25333,25,77
"DLH",526089,454,1719
"DRO",926804,499,2068
"DSM",4489178,2586,8385
"DTW",76162138,36222,108500
"DVL",176775,98,525
"EAU",179146,156,668
"ECP",1685041,974,4169
"EGE",1371530,405,1241
"EKO",106200,47,531
"ELM",828511,472,2051
"ELP",7639529,3941,11972
"ERI",271636,186,746
"ESC",175338,71,573
"EUG",2238396,884,3632
"EVV",1321998,974,3834
"EWN",248975,122,575
"EWR",110719082,44723,101772
"EYW",989090,490,1973
"FAI",2706435,563,2183
"FAR",2930969,1545,5693
"FAT",3651325,2145,7018
"FAY",540523,519,1633
"FCA",1488359,374,2025
"FLG",197540,339,1660
"FLL",77453134,28226,73624
"FNT",2705799,1100,4746
"FSD",2408363,1559,5331
"FSM",683961,473,1971
"FWA",1732130,1373,5261
"GCC",342815,200,997
"GCK",267852,132,663
"GEG",5734762,2393,9505
"GFK",203628,135,717
"GGG",90020,185,643
"GJT",1577094,573,3179
"GNV",801336,723,2683
"GPT",1437360,867,3605
"GRB",1243596,991,4881
"GRI",355674,127,634
