"Group.1","DISTANCE","DELAYED","TOTAL"
"AA",755995614,245904,725984
"AS",206579765,43566,172521
"B6",283651757,102061,267048
"DL",747671138,282463,875881
"EV",264397363,169897,571977
"F9",87857929,34893,90836
"HA",48249045,20146,76272
"MQ",124427633,93726,294632
"NK",115649669,52089,117379
"OO",292277393,171572,588353
"UA",655765355,256550,515723
"US",181129490,62565,198715
"VX",87034957,23379,61903
"WN",934670301,566807,1261855
